,name,homepage,labels,github_id,description,category,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,updated_github_id,latest_stable_release_published_at,latest_stable_release_number,release_count,trending,github_release_downloads,monthly_downloads
41,Aizat Faiz,https://www.aizatto.com/,['programming'],aizatto/gitbook-public,,english,https://github.com/aizatto/gitbook-public,,2019-01-29 01:07:38,2023-03-29 03:35:54,2023-03-29 03:35:54,750.0,,3.0,3.0,,,,21.0,,,2.0,6,True,3.0,,,,,,,
42,Ezekiel Kigbo,https://github.com/theatlasroom/tidbits,"['programming', 'science']",theatlasroom/tidbits,,english,https://github.com/theatlasroom/tidbits,,2016-02-17 01:44:04,2023-01-16 05:47:27,2023-01-16 05:47:22,246.0,,3.0,5.0,3.0,,,20.0,,,3.0,6,True,3.0,,,,,,,
43,Sam Yamashita,https://github.com/sotayamashita/knowledge,"['programming', 'linux']",sotayamashita/knowledge,,english,https://github.com/sotayamashita/knowledge,CC-BY-SA-4.0,2016-08-08 00:42:35,2018-02-06 16:32:26,2018-02-06 16:32:26,344.0,,1.0,5.0,1.0,1.0,11.0,16.0,,,2.0,6,False,3.0,,,,,,,
44,seanbreckenridge exobrain,https://exobrain.sean.fish/,['programming'],seanbreckenridge/exobrain,,english,https://github.com/seanbreckenridge/exobrain,,2020-06-11 04:33:29,2023-10-04 20:39:27,2023-10-04 20:39:25,543.0,41.0,,4.0,,,1.0,11.0,,,,6,True,3.0,,,,,,,
45,SecretGeek TIL,https://til.secretgeek.net/,"['programming', 'linux', 'arts', 'python', 'productivity']",secretGeek/today-i-learned-staging,,english,https://github.com/secretGeek/today-i-learned-staging,,2020-04-18 14:15:35,2023-08-30 12:34:24,2023-08-30 12:34:22,251.0,4.0,3.0,4.0,1.0,,,6.0,,,2.0,6,True,3.0,,,,,,,
46,Memento,https://m0wer.github.io/memento/,"['programming', 'linux', 'python', 'arts']",m0wer/memento,,english,https://github.com/m0wer/memento,,2021-04-07 14:35:27,2023-10-17 05:26:55,2023-10-17 05:26:50,1090.0,53.0,,2.0,,,,5.0,,,2.0,6,True,3.0,,,,,,,
47,The Golden Forest,https://www.lorien.cloud/,"['linux', 'tools']",sdelrio/golden-forest,,english,https://github.com/sdelrio/golden-forest,,2021-11-06 18:24:10,2023-10-14 15:55:25,2023-10-14 15:53:11,297.0,28.0,,2.0,20.0,,,,,,,6,True,3.0,,,,,,,
48,Edward Wardell-Yerburgh,https://notes.eddyerburgh.me/,['programming'],eddyerburgh/notes,,english,https://github.com/eddyerburgh/notes,,2019-08-09 06:56:25,2022-03-16 21:09:51,2022-03-16 21:09:48,123.0,,10.0,6.0,4.0,,,52.0,,,2.0,5,True,3.0,,,,,,,
49,Josh Johnston,https://github.com/joshwnj/knowledge,"['programming', 'productivity', 'arts']",joshwnj/knowledge,,english,https://github.com/joshwnj/knowledge,,2015-10-31 13:29:12,2018-01-25 03:21:53,2018-01-25 03:21:51,57.0,,4.0,7.0,2.0,,,50.0,,,,5,False,3.0,,,,,,,
50,Junwei Zhao,https://wiki.toozhao.com/#/,"['programming', 'linux']",wahyd4/knowledge,,english,https://github.com/wahyd4/knowledge,,2017-06-02 09:24:45,2022-07-25 05:38:16,2022-07-25 05:38:16,233.0,,8.0,6.0,,1.0,1.0,46.0,,,2.0,5,True,3.0,,,,,,,
51,Imron Rosyadi,https://irosyadi.gitbook.io/irosyadi/,['programming'],irosyadi/gitbook,,english,https://github.com/irosyadi/gitbook,,2020-06-28 14:40:32,2023-03-08 02:50:33,2023-03-08 02:50:28,244.0,,13.0,2.0,5.0,,,24.0,,,3.0,5,True,3.0,,,,,,,
52,Andrew Zappella,https://github.com/azappella/knowledge,"['programming', 'productivity', 'linux']",azappella/knowledge,,english,https://github.com/azappella/knowledge,,2018-06-26 16:04:46,2023-07-07 11:47:25,2023-07-07 11:47:21,150.0,,1.0,3.0,,,,17.0,,,,5,True,3.0,,,,,,,
53,Caio Gondim,https://github.com/caiogondim/knowledge,"['programming', 'linux']",caiogondim/knowledge,,english,https://github.com/caiogondim/knowledge,MIT,2016-04-19 18:23:40,2016-06-14 11:56:52,2016-06-14 11:48:11,23.0,,1.0,7.0,,,,12.0,,,2.0,5,False,3.0,,,,,,,
54,Nimalan aka mark1626,https://mark1626.github.io/knowledge/,"['science', 'programming', 'linux']",mark1626/knowledge,,english,https://github.com/Mark1626/knowledge,CC0-1.0,2019-12-29 09:35:55,2023-10-09 15:48:03,2023-10-09 15:47:59,341.0,9.0,,1.0,,,,6.0,,,2.0,5,True,3.0,,,,,,,
55,Rachel Brindle,https://knowledge.rachelbrindle.com/,"['activism', 'science', 'arts', 'productivity', 'programming', 'python', 'linux']",younata/personal_knowledge,,english,https://github.com/younata/personal_knowledge,,2019-03-24 01:09:02,2023-09-28 02:22:05,2023-09-28 02:21:50,449.0,7.0,,4.0,6.0,,,5.0,,,3.0,5,True,3.0,,,,,,,
56,Yarden Zamir - an open sourced 🧠,https://www.yarden-zamir.com,"['programming', 'productivity']",Yarden-zamir/me,,english,https://github.com/Yarden-zamir/me,,2022-11-21 13:38:48,2023-10-09 08:11:23,2023-10-09 08:11:17,262.0,3.0,4.0,2.0,3.0,1.0,3.0,3.0,,,2.0,5,True,3.0,,,,,,,
57,Mathias Borgmalm,https://wiki.mathiasborgmalm.dev/,"['arts', 'programming']",MateBoy/knowledge-base,,english,https://github.com/MateBoy/knowledge-base,MIT,2019-10-24 11:08:31,2021-07-05 08:11:39,2021-07-05 08:11:30,83.0,,,1.0,,,,,,,3.0,5,True,3.0,,,,,,,
58,Daniel Schildt,https://github.com/d2s/knowledge,"['programming', 'linux', 'arts', 'science']",d2s/knowledge,,english,https://github.com/d2s/knowledge,,2016-01-21 02:41:09,2020-06-11 21:04:21,2020-06-11 21:03:51,140.0,,3.0,5.0,1.0,1.0,,19.0,,,2.0,4,True,3.0,,,,,,,
59,The Refined Mind,https://refinedmind.co/digital-garden,[],MikeTannenbaum/my-public-mind,,english,https://github.com/MikeTannenbaum/my-public-mind,,2020-05-29 16:00:06,2022-12-13 18:22:24,2022-12-13 18:22:22,185.0,,2.0,,1.0,,,12.0,,,2.0,4,True,3.0,,,,,,,
60,Alex Pliutau,https://github.com/plutov/notebook,['programming'],plutov/notebook,,english,https://github.com/plutov/notebook,,2018-08-20 02:42:32,2021-03-06 09:16:55,2021-03-06 09:16:55,70.0,,6.0,4.0,1.0,,,10.0,,,2.0,4,True,3.0,,,,,,,
61,Kamil Ronewicz,https://github.com/galileo/knowledge,['programming'],galileo/knowledge,,english,https://github.com/galileo/knowledge,MIT,2017-05-03 07:48:33,2022-02-08 11:35:24,2022-02-08 11:35:23,39.0,,1.0,3.0,1.0,,1.0,9.0,,,,4,True,3.0,,,,,,,
62,Mineral Existence,https://mineralexistence.com/home.html,"['programming', 'arts']",flber/Mineral-Existence,,english,https://github.com/flber/mx,,2020-09-27 02:34:26,2023-04-26 20:36:57,2023-04-19 21:15:01,565.0,,1.0,1.0,4.0,,,8.0,,,,4,True,3.0,flber/mx,,,,,,
63,Piotr Stojanow,https://wiki.stojanow.com/,"['science', 'arts', 'activism', 'productivity']",psto/episteme,,english,https://github.com/psto/episteme,,2019-01-31 17:47:00,2023-02-28 13:58:07,2023-02-28 13:57:57,187.0,,1.0,4.0,,,,7.0,,,2.0,4,True,3.0,,,,,,,
64,Myles Braithwaite,https://wiki.mylesb.ca/,"['programming', 'arts', 'linux', 'productivity']",myles/wiki,,english,https://github.com/myles/wiki,CC0-1.0,2017-10-30 00:35:00,2023-04-14 04:08:46,2023-04-14 04:08:46,437.0,,,3.0,137.0,1.0,1.0,3.0,,,4.0,4,True,3.0,,2019-01-14 15:42:02,2018,1.0,,12.0,0.0
65,Things Learned,https://sunflowerno0b.github.io/ATW/,"['programming', 'linux']",sunflowerno0b/ATW,,english,https://github.com/sunflowerno0b/ATW,GPL-3.0,2020-10-19 22:55:09,2023-04-15 17:11:43,2023-04-15 17:11:02,95.0,,,,,,,2.0,,,7.0,4,True,3.0,,,,,,,
66,Mingyang Li,https://tslmy.gitbook.io/k/,"['programming', 'science']",tslmy/know,,english,https://github.com/tslmy/know,,2019-03-03 20:52:14,2022-04-28 19:33:33,2022-04-28 19:33:32,104.0,,,3.0,,,,8.0,,,2.0,3,True,3.0,,,,,,,
67,David Seah,https://davidseah.gitbook.io/davidseah/,"['productivity', 'programming']",davidseah/knowledgebank,,english,https://github.com/davidseah/knowledgebank,,2019-10-24 01:09:09,2021-09-02 01:33:58,2021-09-02 01:33:56,208.0,,,1.0,,,,7.0,,,,3,True,3.0,,,,,,,
68,Nick S. Plekhanov,https://github.com/nicksp/til,['programming'],nicksp/til,,english,https://github.com/nicksp/til,,2017-04-23 21:55:40,2017-07-14 21:13:57,2017-07-14 21:13:51,12.0,,,3.0,,,,6.0,,,,3,False,3.0,,,,,,,
69,Josh Pierro,https://github.com/joshpierro/knowledge,"['programming', 'linux', 'arts']",joshpierro/knowledge,,english,https://github.com/joshpierro/knowledge,,2017-03-09 18:24:08,2019-04-30 15:55:55,2019-04-30 15:55:54,14.0,,,3.0,,,,4.0,,,,3,False,3.0,,,,,,,
70,Oleh Kuchuk,https://github.com/hzlmn/week-learning,"['python', 'programming']",hzlmn/week-learning,,english,https://github.com/hzlmn/week-learning,,2017-03-26 10:04:54,2019-08-18 21:28:23,2019-08-18 21:28:22,47.0,,,4.0,,,,4.0,,,2.0,3,True,3.0,,,,,,,
71,Bruno Coimbra,https://wiki.metaphoric.dev/,['linux'],b-coimbra/wiki,,english,https://github.com/b-coimbra/wiki,,2017-06-26 23:15:31,2022-06-08 23:01:03,2022-06-08 21:50:53,110.0,,,1.0,,,,3.0,,,3.0,3,True,3.0,,,,,,,
72,Eyal Levin,https://github.com/eyalev/notes,['arts'],eyalev/notes,,english,https://github.com/eyalev/notes,,2018-10-04 19:46:56,2020-04-27 09:26:21,2020-04-27 09:26:17,88.0,,,2.0,,,,3.0,,,,3,True,3.0,,,,,,,
73,Harald O. Bakke,https://hwiki.bakke.be/,"['activism', 'arts', 'productivity']",bakke92/hwiki,,english,https://github.com/bakke92/hwiki,,2019-04-13 09:28:45,2023-10-02 18:25:48,2023-10-02 18:25:45,293.0,3.0,,2.0,,,,2.0,,,2.0,3,True,3.0,,,,,,,
74,Prasanna Loganathar,https://github.com/prasannavl/knowledge,"['science', 'linux', 'programming']",prasannavl/knowledge,,english,https://github.com/prasannavl/knowledge,,2019-05-10 00:53:49,2022-02-28 07:29:34,2022-02-28 07:29:30,90.0,,,3.0,,,,2.0,,,,3,True,3.0,,,,,,,
75,Marshall Bowers,https://knowledge.maxdeviant.com/,"['programming', 'linux']",maxdeviant/knowledge,,english,https://github.com/maxdeviant/knowledge,,2020-03-21 21:21:49,2021-05-16 18:04:43,2021-05-16 18:04:40,30.0,,,2.0,,,,,,,,3,True,3.0,,,,,,,
76,Stephen McAleese,https://directory.stephenmcaleese.com/,"['science', 'productivity']",smcaleese/directory,,english,https://github.com/smcaleese/directory,,2019-02-13 20:50:10,2022-12-09 15:40:20,2021-02-14 21:42:32,47.0,,,1.0,34.0,,,,,,,3,True,3.0,,,,,,,
77,Rebeca Sarai,https://rsarai.github.io/,[],rsarai/rsarai.github.io,,english,https://github.com/rsarai/rsarai.github.io,MIT,2020-02-07 01:46:20,2023-08-10 14:28:11,2023-08-10 14:28:02,111.0,1.0,,2.0,15.0,1.0,,,,,2.0,3,True,3.0,,,,,,,
78,Believer,https://devlog.willcodefor.beer/,['programming'],believer/devlog,,english,https://github.com/believer/devlog,,2021-06-13 07:49:07,2022-04-23 04:28:06,2022-04-23 04:28:06,142.0,,1.0,1.0,,,,20.0,,,2.0,2,True,3.0,,,,,,,
79,Nimor's zettelkasten,https://nimor111.github.io/notebook/,[],Nimor111/notebook,,english,https://github.com/Nimor111/notebook,,2020-12-03 21:03:34,2021-06-03 20:32:37,2021-06-03 20:31:25,43.0,,1.0,2.0,,,,7.0,,,2.0,2,True,3.0,,,,,,,
80,.CLI,https://wiki.changbai.li/#/,"['programming', 'health']",dotcli/knowledge,,english,https://github.com/dotcli/knowledge,,2018-12-09 14:00:32,2022-12-19 19:32:28,2022-12-19 19:32:28,138.0,,,1.0,1.0,,,4.0,,,2.0,2,True,3.0,,,,,,,
81,(Nick Belzer,https://notes.nickbelzer.me/,['programming'],nbelzer/notes,,english,https://github.com/nbelzer/notes,,2020-04-25 18:21:31,2023-02-20 19:56:56,2022-12-03 14:28:47,110.0,,,2.0,41.0,1.0,,4.0,,,2.0,2,True,3.0,,,,,,,
82,Alper Kanat,https://github.com/tunix/notebook,['linux'],tunix/notebook,,english,https://github.com/tunix/notebook,,2020-10-02 09:34:09,2023-05-09 20:11:17,2023-05-09 20:11:17,25.0,,,1.0,,,,3.0,,,2.0,2,True,3.0,,,,,,,
83,Shreyas Minocha’s Wiki,https://wiki.shreyasminocha.me/index.html,"['science', 'programming', 'python']",shreyasminocha/wiki,,english,https://github.com/shreyasminocha/wiki,,2020-05-21 16:08:32,2021-02-21 01:46:20,2021-02-21 01:45:23,50.0,,,2.0,,,,2.0,,,3.0,2,True,3.0,,,,,,,
84,Mehmet Kanat,https://github.com/mehmetka/notebook,['programming'],mehmetka/notebook,,english,https://github.com/mehmetka/notebook,,2020-09-13 16:06:40,2023-09-25 20:22:03,2023-09-25 20:22:02,133.0,13.0,,1.0,,,,1.0,,,2.0,2,True,3.0,,,,,,,
85,Vegard Stikbakke's TILs,https://til.vegardstikbakke.com/,['programming'],vegarsti/til,,english,https://github.com/vegarsti/til,,2021-05-19 10:00:20,2023-06-30 07:02:39,2023-06-30 07:02:38,64.0,,,2.0,,,,1.0,,,,2,True,3.0,,,,,,,
86,Manassarn Manoonchai,https://wiki.monosor.com/,"['programming', 'productivity', 'arts']",narze/knowledge,,english,https://github.com/narze/knowledge,,2019-07-19 04:49:09,2020-11-10 04:50:23,2020-11-10 04:50:17,55.0,,,1.0,,,,,,,2.0,2,True,3.0,,,,,,,
87,Brandon Boswell,https://brandonkboswell.com/,"['programming', 'productivity', 'design', 'mindfulness']",brandonkboswell/garden,,english,https://github.com/brandonkboswell/garden,,2022-01-20 03:35:26,2023-10-09 02:41:14,2023-10-09 02:41:10,93.0,9.0,,1.0,,,1.0,1.0,,,,1,True,3.0,,,,,,,
88,Derelict garden,https://derelict.garden,"['programming', 'linux', 'science']",,"Digital garden, webring and community of hackers.",english,,,,,,,,,,,,,,,,,1,True,3.0,,,,,,,
89,Kirill Gorbachyonok,https://github.com/japanese-goblinn/knowledge-base,"['programming', 'productivity']",japanese-goblinn/knowledge-base,,english,,,,,,,,,,,,,,,,,0,True,,,,,,,,
90,whoibrar notes,https://notes.whoibrar.com/,"['productivity', 'programming', 'python']",,,english,,,,,,,,,,,,,,,,,0,True,,,,,,,,
